year,city,avg_temp
1810,global,6.92
1811,global,6.86
1812,global,7.05
1813,global,7.74
1814,global,7.59
1815,global,7.24
1816,global,6.94
1817,global,6.98
1818,global,7.83
1819,global,7.37
1820,global,7.62
1821,global,8.09
1822,global,8.19
1823,global,7.72
1824,global,8.55
1825,global,8.39
1826,global,8.36
1827,global,8.81
1828,global,8.17
1829,global,7.94
1830,global,8.52
1831,global,7.64
1832,global,7.45
1833,global,8.01
1834,global,8.15
1835,global,7.39
1836,global,7.70
1837,global,7.38
1838,global,7.51
1839,global,7.63
1840,global,7.80
1841,global,7.69
1842,global,8.02
1843,global,8.17
1844,global,7.65
1845,global,7.85
1846,global,8.55
1847,global,8.09
1848,global,7.98
1849,global,7.98
1850,global,7.90
1851,global,8.18
1852,global,8.10
1853,global,8.04
1854,global,8.21
1855,global,8.11
1856,global,8.00
1857,global,7.76
1858,global,8.10
1859,global,8.25
1860,global,7.96
1861,global,7.85
1862,global,7.56
1863,global,8.11
1864,global,7.98
1865,global,8.18
1866,global,8.29
1867,global,8.44
1868,global,8.25
1869,global,8.43
1870,global,8.20
1871,global,8.12
1872,global,8.19
1873,global,8.35
1874,global,8.43
1875,global,7.86
1876,global,8.08
1877,global,8.54
1878,global,8.83
1879,global,8.17
1880,global,8.12
1881,global,8.27
1882,global,8.13
1883,global,7.98
1884,global,7.77
1885,global,7.92
1886,global,7.95
1887,global,7.91
1888,global,8.09
1889,global,8.32
1890,global,7.97
1891,global,8.02
1892,global,8.07
1893,global,8.06
1894,global,8.16
1895,global,8.15
1896,global,8.21
1897,global,8.29
1898,global,8.18
1899,global,8.40
1900,global,8.50
1901,global,8.54
1902,global,8.30
1903,global,8.22
1904,global,8.09
1905,global,8.23
1906,global,8.38
1907,global,7.95
1908,global,8.19
1909,global,8.18
1910,global,8.22
1911,global,8.18
1912,global,8.17
1913,global,8.30
1914,global,8.59
1915,global,8.59
1916,global,8.23
1917,global,8.02
1918,global,8.13
1919,global,8.38
1920,global,8.36
1921,global,8.57
1922,global,8.41
1923,global,8.42
1924,global,8.51
1925,global,8.53
1926,global,8.73
1927,global,8.52
1928,global,8.63
1929,global,8.24
1930,global,8.63
1931,global,8.72
1932,global,8.71
1933,global,8.34
1934,global,8.63
1935,global,8.52
1936,global,8.55
1937,global,8.70
1938,global,8.86
1939,global,8.76
1940,global,8.76
1941,global,8.77
1942,global,8.73
1943,global,8.76
1944,global,8.85
1945,global,8.58
1946,global,8.68
1947,global,8.80
1948,global,8.75
1949,global,8.59
1950,global,8.37
1951,global,8.63
1952,global,8.64
1953,global,8.87
1954,global,8.56
1955,global,8.63
1956,global,8.28
1957,global,8.73
1958,global,8.77
1959,global,8.73
1960,global,8.58
1961,global,8.80
1962,global,8.75
1963,global,8.86
1964,global,8.41
1965,global,8.53
1966,global,8.60
1967,global,8.70
1968,global,8.52
1969,global,8.60
1970,global,8.70
1971,global,8.60
1972,global,8.50
1973,global,8.95
1974,global,8.47
1975,global,8.74
1976,global,8.35
1977,global,8.85
1978,global,8.69
1979,global,8.73
1980,global,8.98
1981,global,9.17
1982,global,8.64
1983,global,9.03
1984,global,8.69
1985,global,8.66
1986,global,8.83
1987,global,8.99
1988,global,9.20
1989,global,8.92
1990,global,9.23
1991,global,9.18
1992,global,8.84
1993,global,8.87
1994,global,9.04
1995,global,9.35
1996,global,9.04
1997,global,9.20
1998,global,9.52
1999,global,9.29
2000,global,9.20
2001,global,9.41
2002,global,9.57
2003,global,9.53
2004,global,9.32
2005,global,9.70
2006,global,9.53
2007,global,9.73
2008,global,9.43
2009,global,9.51
2010,global,9.70
2011,global,9.52
2012,global,9.51
2013,global,9.61
2014,global,9.57
2015,global,9.83
